iter	Passed	Remaining
0	4	4877
1	10	5012
2	14	4958
3	19	4812
4	24	4838
5	29	4832
6	34	4823
7	39	4852
8	44	4854
9	49	4894
10	53	4848
11	58	4840
12	63	4842
13	68	4817
14	73	4811
15	78	4824
16	83	4820
17	87	4800
18	92	4786
19	98	4802
20	102	4797
21	107	4790
22	113	4807
23	118	4822
24	123	4811
25	128	4804
26	147	5311
27	152	5300
28	157	5279
29	162	5266
30	167	5244
31	172	5231
32	178	5226
33	183	5206
34	188	5189
35	194	5197
36	199	5186
37	204	5187
38	210	5177
39	215	5169
40	220	5156
41	225	5153
42	231	5141
43	236	5137
44	241	5134
45	247	5129
46	252	5118
47	257	5111
48	263	5109
49	268	5101
50	274	5101
51	280	5105
52	285	5093
53	290	5083
54	295	5075
55	300	5069
56	306	5069
57	312	5069
58	317	5058
59	323	5066
60	330	5083
61	335	5082
62	342	5101
63	349	5114
64	355	5111
65	361	5117
66	367	5124
67	374	5136
68	380	5134
69	387	5152
70	394	5165
71	415	5351
72	421	5356
73	428	5356
74	433	5340
75	438	5325
76	443	5312
77	448	5299
78	453	5290
79	458	5275
80	464	5265
81	469	5255
82	474	5246
83	479	5234
84	485	5227
85	491	5220
86	497	5216
87	502	5207
88	507	5197
89	512	5184
90	517	5174
91	524	5173
92	529	5165
93	535	5156
94	540	5146
95	545	5136
96	550	5125
97	555	5114
98	561	5106
99	566	5097
100	571	5086
101	576	5074
102	581	5064
103	586	5056
104	592	5046
105	597	5038
106	602	5028
107	607	5016
108	612	5010
109	617	4999
110	623	4991
111	628	4986
112	633	4976
113	639	4967
114	644	4958
115	649	4949
116	654	4942
117	660	4935
118	665	4926
119	670	4920
120	676	4913
121	681	4907
122	688	4907
123	693	4901
124	700	4902
125	705	4896
126	711	4890
127	716	4883
128	722	4881
129	728	4874
130	734	4871
131	740	4866
132	745	4860
133	750	4851
134	756	4844
135	761	4836
136	766	4829
137	771	4819
138	776	4811
139	782	4806
140	787	4799
141	792	4789
142	798	4785
143	804	4780
144	810	4777
145	816	4774
146	822	4775
147	829	4777
148	836	4777
149	842	4775
150	848	4768
151	853	4762
152	859	4756
153	864	4747
154	869	4741
155	874	4732
156	880	4727
157	886	4722
158	891	4715
159	897	4713
160	904	4712
161	909	4706
162	915	4701
163	921	4694
164	926	4689
165	931	4682
166	937	4673
167	942	4665
168	947	4659
169	952	4651
170	957	4643
171	963	4636
172	967	4626
173	972	4618
174	978	4611
175	983	4602
176	987	4592
177	992	4584
178	997	4575
179	1002	4566
180	1007	4558
181	1012	4550
182	1017	4542
183	1022	4535
184	1027	4527
185	1032	4520
186	1038	4515
187	1044	4511
188	1051	4512
189	1058	4514
190	1065	4512
191	1071	4509
192	1077	4506
193	1083	4502
194	1089	4499
195	1096	4497
196	1102	4492
197	1108	4488
198	1114	4485
199	1120	4482
200	1126	4477
201	1132	4473
202	1138	4468
203	1145	4468
204	1162	4509
205	1177	4537
206	1184	4536
207	1190	4534
208	1197	4531
209	1203	4528
210	1210	4526
211	1216	4522
212	1223	4520
213	1229	4516
214	1236	4514
215	1242	4511
216	1249	4507
217	1255	4502
218	1260	4496
219	1267	4492
220	1272	4485
221	1277	4477
222	1283	4471
223	1288	4464
224	1294	4457
225	1299	4449
226	1304	4442
227	1309	4433
228	1316	4432
229	1322	4425
230	1327	4419
231	1332	4412
232	1338	4406
233	1344	4402
234	1350	4397
235	1356	4392
236	1362	4385
237	1367	4379
238	1374	4376
239	1379	4369
240	1386	4365
241	1392	4361
242	1397	4354
243	1403	4348
244	1408	4341
245	1414	4335
246	1436	4378
247	1443	4377
248	1450	4376
249	1457	4373
250	1465	4371
251	1472	4370
252	1479	4367
253	1485	4363
254	1492	4359
255	1545	4492
256	1555	4497
257	1562	4492
258	1567	4485
259	1573	4479
260	1579	4472
261	1585	4466
262	1592	4461
263	1598	4455
264	1604	4449
265	1621	4474
266	1627	4467
267	1633	4460
268	1638	4453
269	1644	4447
270	1650	4439
271	1655	4431
272	1661	4423
273	1666	4416
274	1672	4408
275	1677	4400
276	1683	4394
277	1689	4386
278	1694	4378
279	1700	4371
280	1705	4364
281	1711	4356
282	1716	4349
283	1722	4342
284	1728	4335
285	1733	4326
286	1738	4319
287	1744	4313
288	1750	4307
289	1757	4302
290	1764	4298
291	1770	4293
292	1776	4287
293	1782	4281
294	1789	4276
295	1795	4271
296	1802	4266
297	1809	4262
298	1816	4257
299	1821	4250
300	1827	4243
301	1832	4235
302	1837	4226
303	1842	4217
304	1847	4210
305	1855	4208
306	1864	4209
307	1871	4205
308	1879	4202
309	1885	4195
310	1890	4188
311	1896	4181
312	1901	4174
313	1907	4166
314	1913	4160
315	1918	4152
316	1924	4147
317	1932	4144
318	1942	4147
319	1953	4152
320	1966	4160
321	1975	4159
322	1981	4153
323	1987	4147
324	1993	4140
325	1998	4132
326	2004	4124
327	2009	4117
328	2015	4109
329	2020	4102
330	2025	4093
331	2031	4086
332	2036	4079
333	2042	4071
334	2046	4062
335	2052	4055
336	2057	4048
337	2062	4040
338	2068	4032
339	2073	4024
340	2078	4016
341	2083	4008
342	2088	4001
343	2093	3992
344	2098	3984
345	2103	3976
346	2109	3968
347	2114	3962
348	2119	3953
349	2124	3945
350	2130	3939
351	2136	3932
352	2141	3925
353	2146	3917
354	2152	3910
355	2157	3903
356	2162	3895
357	2168	3887
358	2173	3880
359	2178	3873
360	2184	3867
361	2191	3862
362	2198	3857
363	2204	3851
364	2209	3844
365	2215	3837
366	2220	3830
367	2226	3823
368	2232	3818
369	2239	3813
370	2246	3808
371	2252	3802
372	2257	3795
373	2264	3790
374	2271	3785
375	2277	3779
376	2284	3774
377	2290	3768
